Member,Aayla Secura,Admiral Ackbar,Ahsoka Tano,Ahsoka Tano (Fulcrum),Asajj Ventress,B2 Super Battle Droid,Barriss Offee,Baze Malbus,BB-8,Biggs Darklighter,Bistan,Boba Fett,Bodhi Rook,Cad Bane,Captain Han Solo,Captain Phasma,Cassian Andor,CC-2224 "Cody",Chief Chirpa,Chief Nebit,Chirrut Imwe,Chopper,Clone Sergeant - Phase I,Clone Wars Chewbacca,Commander Luke Skywalker,Coruscant Underworld Police,Count Dooku,CT-21-0408 "Echo",CT-5555 "Fives",CT-7567 "Rex",Darth Maul,Darth Nihilus,Darth Sidious,Darth Vader,Dathcha,Death Trooper,Dengar,Director Krennic,Eeth Koth,Emperor Palpatine,Ewok Elder,Ewok Scout,Ezra Bridger,Finn,First Order Officer,First Order Stormtrooper,First Order TIE Pilot,Gamorrean Guard,Gar Saxon,Garazeb "Zeb" Orrelios,General Grievous,General Kenobi,General Veers,Geonosian Soldier,Geonosian Spy,Grand Admiral Thrawn,Grand Master Yoda,Grand Moff Tarkin,Greedo,Han Solo,Hera Syndulla,Hermit Yoda,HK-47,Hoth Rebel Scout,Hoth Rebel Soldier,IG-100 MagnaGuard,IG-86 Sentinel Droid,IG-88,Ima-Gun Di,Imperial Super Commando,Jawa,Jawa Engineer,Jawa Scavenger,Jedi Consular,Jedi Knight Anakin,Jedi Knight Guardian,Jyn Erso,K-2SO,Kanan Jarrus,Kit Fisto,Kylo Ren,Lando Calrissian,Lobot,Logray,Luke Skywalker (Farmboy),Luminara Unduli,Mace Windu,Magmatrooper,Mob Enforcer,Nightsister Acolyte,Nightsister Initiate,Nute Gunray,Obi-Wan Kenobi (Old Ben),Old Daka,Pao,Paploo,Plo Koon,Poe Dameron,Poggle the Lesser,Princess Leia,Qui-Gon Jinn,R2-D2,Rebel Officer Leia Organa,Resistance Pilot,Resistance Trooper,Rey,Royal Guard,Sabine Wren,Savage Opress,Scarif Rebel Pathfinder,Shoretrooper,Sith Assassin,Sith Trooper,Snowtrooper,Stormtrooper,Stormtrooper Han,Sun Fac,Talia,Teebo,TIE Fighter Pilot,Tusken Raider,Tusken Shaman,Ugnaught,URoRRuR'R'R,Veteran Smuggler Chewbacca,Veteran Smuggler Han Solo,Wedge Antilles,Wicket,Zam Wesell,Ahsoka Tano's Jedi Starfighter,Biggs Darklighter's X-wing,Bistan's U-wing,Cassian's U-wing,Chimaera,Clone Sergeant's ARC-170,Endurance,Executrix,First Order TIE Fighter,Gauntlet Starfighter,Geonosian Soldier's Starfighter,Geonosian Spy's Starfighter,Ghost,Home One,Imperial TIE Fighter,Jedi Consular's Starfighter,Kylo Ren's Command Shuttle,Millennium Falcon (Ep VII),Phantom II,Plo Koon's Jedi Starfighter,Poe Dameron's X-wing,Resistance X-wing,Rex's ARC-170,Scimitar,Slave I,Sun Fac's Geonosian Starfighter,TIE Advanced x1,TIE Reaper,Umbaran Starfighter,Wedge Antilles's X-wing,
Kungfu Owlbear,,7,7,4,5,4,,,7,7,7,7,6,,5,7,7,7,3,7,6,7,6,5,7,1,5,4,7,7,6,4,6,7,7,3,5,4,7,7,7,5,7,7,7,7,7,,4,7,,6,5,7,4,,7,7,2,7,7,,7,7,4,4,7,7,5,3,7,7,7,7,5,5,7,7,7,3,7,7,,3,7,7,7,1,,,1,4,7,6,4,3,3,7,4,7,7,7,,7,7,7,7,7,7,4,3,3,3,7,4,7,7,4,7,7,4,4,2,,3,3,7,3,4,7,7,4,0,0,5,5,5,5,4,6,4,4,5,5,7,0,0,4,2,0,5,0,0,0,5,4,0,0,6,
chaoskai808,7,7,7,6,7,7,7,5,,7,7,7,4,7,5,7,7,7,7,7,6,7,6,7,7,2,7,7,7,7,7,6,7,7,7,3,2,4,,7,7,6,7,,3,2,4,3,2,7,,6,3,7,,5,7,7,7,7,7,,7,6,5,3,7,7,7,2,5,7,7,7,7,2,7,7,7,2,7,7,,,7,7,7,6,2,,,4,7,7,2,,,7,,7,7,7,,5,5,7,7,7,7,5,4,3,3,4,7,7,7,3,7,7,,7,,4,,,7,,3,7,7,4,0,0,3,6,6,5,4,7,0,4,5,6,7,0,0,4,0,0,5,4,5,6,7,6,0,5,7,
Riconn,4,7,7,5,4,5,5,7,5,7,7,7,2,,6,7,7,7,5,7,7,7,7,5,7,7,5,7,7,7,7,7,7,7,4,5,7,5,7,7,5,5,7,7,7,7,7,4,4,7,,6,7,6,5,5,7,7,3,7,7,,7,7,7,3,5,7,7,4,2,7,5,7,5,6,7,4,7,3,7,7,5,4,7,7,7,7,4,2,3,4,7,4,5,3,4,7,,7,7,7,,7,7,7,5,7,4,5,7,4,4,7,4,7,7,4,7,7,3,4,4,4,3,3,7,3,4,7,7,6,0,0,6,6,6,7,6,7,2,7,6,7,7,4,0,5,3,6,4,4,7,7,5,7,3,7,7,
BiColorLobster,5,7,7,5,7,,7,7,7,7,7,7,6,7,5,7,7,7,6,7,7,7,7,6,7,2,7,7,7,7,7,5,7,7,7,7,7,5,7,7,7,7,7,4,7,7,7,5,4,7,7,6,7,5,,6,7,7,4,7,7,,7,7,5,6,7,7,7,3,7,7,7,7,7,5,7,7,7,2,7,7,5,3,7,7,7,7,2,2,3,4,7,7,7,3,5,7,7,7,7,7,,7,7,7,7,7,7,5,7,4,3,7,7,7,7,4,7,7,7,7,7,4,3,3,7,3,3,7,7,4,0,0,6,6,6,7,4,7,0,4,6,7,7,0,0,4,3,0,6,5,0,6,7,7,0,7,7,
Mmike1214,,7,7,3,7,,7,4,,7,7,7,2,7,,7,6,7,4,7,7,5,7,6,,,7,7,7,7,7,5,7,7,7,2,7,3,,7,6,6,7,,5,3,4,,3,7,,6,3,7,,5,7,5,,7,7,,7,5,4,5,7,7,7,3,5,7,7,7,7,2,7,7,7,,7,,,3,7,7,7,7,2,,7,,7,7,2,3,,6,4,7,7,7,,7,2,7,7,7,6,2,,3,3,5,3,7,7,5,7,7,,,,,3,3,7,3,,6,7,3,0,0,1,5,5,0,4,5,0,4,5,5,7,0,0,4,0,0,5,0,5,5,5,0,0,0,6,
hunterrr,,7,5,7,4,7,4,5,,7,4,7,6,5,5,7,7,7,4,7,7,7,5,5,7,2,4,7,7,7,7,7,7,7,7,4,7,4,7,7,5,7,7,4,6,4,5,,3,7,,6,5,2,,,7,7,7,7,7,,4,7,5,4,7,7,4,3,7,7,7,7,7,6,7,7,7,2,7,,3,3,7,7,7,4,,,2,,7,5,3,3,5,6,7,7,7,7,,7,3,4,7,7,6,5,5,7,3,7,5,7,4,4,7,7,5,,3,,3,3,7,3,7,3,7,5,0,0,2,6,6,5,4,5,0,7,6,7,7,0,0,7,3,0,5,0,7,7,5,7,0,7,7,
Serenity Shann,7,7,7,6,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,5,7,7,4,7,5,7,7,6,7,7,6,7,7,,7,7,6,7,7,7,7,4,7,7,7,7,7,7,7,7,7,7,7,7,7,3,7,7,7,7,7,3,7,6,7,7,7,3,7,7,7,7,7,7,,7,7,7,7,7,7,7,6,6,7,6,7,7,7,7,7,7,7,5,7,4,4,4,7,3,5,7,7,7,4,0,7,6,6,7,4,7,7,7,6,7,7,4,0,7,7,6,6,4,4,6,7,7,0,7,7,
Julasera,,7,7,5,7,,,,,7,6,7,5,7,4,,7,,7,5,4,6,5,7,,,,,7,7,7,7,,7,5,3,7,3,,7,7,6,6,5,,,2,,3,7,,6,4,7,,,7,7,,7,7,,7,5,5,4,6,7,4,2,4,7,5,7,,7,7,7,7,,,5,4,3,7,7,7,1,,,6,,6,,2,3,4,6,,7,5,7,,6,,7,7,7,7,7,,3,3,6,4,6,7,7,7,7,4,,,,3,3,7,3,,7,7,4,0,0,5,6,6,1,4,6,0,7,6,7,7,0,0,5,2,0,3,0,6,7,7,6,0,4,7,
MAL,3,7,7,3,7,4,7,,5,7,7,7,6,7,,7,7,7,6,7,6,7,7,7,,,,7,7,7,7,6,7,7,7,7,7,4,,7,7,7,3,7,7,5,7,5,2,7,7,6,7,4,,,7,7,7,7,5,,7,7,5,7,7,7,7,2,7,7,7,7,7,3,7,7,7,,7,7,3,3,7,7,7,7,2,,1,,7,7,7,3,3,7,7,7,7,7,,7,7,7,7,7,7,3,,3,3,7,3,7,7,7,7,7,3,7,2,,3,3,7,3,7,7,7,3,0,0,6,5,6,7,4,7,0,4,6,7,7,0,0,3,2,5,7,4,7,7,6,6,0,7,7,
wom,7,7,7,3,7,,7,,,7,7,7,7,7,5,7,7,5,4,7,4,7,5,6,7,5,7,5,7,7,7,5,7,7,6,3,7,4,5,7,5,5,7,7,5,4,4,,3,7,,6,6,3,,,7,7,7,7,7,,6,7,6,4,7,7,7,3,4,,3,6,7,5,7,7,7,2,7,7,3,3,7,7,7,5,5,2,3,7,7,7,7,3,4,7,6,7,7,7,,7,7,7,7,7,7,5,,3,3,5,7,7,7,7,7,7,4,5,5,4,3,3,7,3,3,7,7,4,0,0,4,6,5,2,4,5,0,3,5,7,7,4,0,3,2,5,4,3,4,7,7,6,0,7,7,
Mesauna,3,7,7,3,7,,7,,7,7,4,7,7,7,4,7,7,5,7,7,4,7,7,6,,7,7,4,7,7,7,7,7,7,7,3,7,4,7,7,7,7,5,7,7,7,7,4,3,7,,6,4,7,4,,7,7,7,7,5,,7,6,4,6,7,7,7,3,7,7,7,7,7,6,7,7,7,,7,7,5,3,7,7,7,7,,,,7,7,7,7,3,7,7,7,7,7,7,,7,7,7,7,7,7,5,3,4,7,7,5,7,7,5,7,7,6,3,7,4,3,3,5,3,5,7,7,4,0,0,5,5,6,7,4,7,7,6,6,7,7,0,0,5,6,5,5,0,7,7,7,7,0,6,4,
Reparations Required,3,7,7,5,7,,7,5,7,7,7,7,7,7,4,7,7,7,7,7,7,7,7,7,,1,7,7,7,7,7,6,7,7,7,3,7,5,7,7,7,7,7,7,7,7,7,7,3,7,6,6,6,7,4,5,7,7,7,7,7,,7,7,5,5,7,7,7,3,5,7,7,7,7,5,7,7,7,2,7,7,,3,7,7,7,7,2,,3,7,7,7,7,3,5,7,7,7,7,7,,7,7,7,7,7,7,5,4,3,3,7,7,7,7,5,7,7,7,7,5,,3,3,7,3,7,7,7,4,0,0,4,6,6,6,4,6,1,5,5,6,7,0,0,4,2,0,5,0,5,6,5,0,0,7,7,
Fan Man,4,7,7,5,7,,7,6,7,7,7,7,7,7,5,7,7,7,7,7,7,7,7,7,,7,6,7,7,7,7,6,7,7,7,7,7,5,7,7,7,7,7,7,7,7,7,5,3,7,5,6,5,7,7,,7,7,7,7,7,,7,7,5,7,7,7,7,3,7,7,7,7,6,7,7,7,7,5,7,5,5,3,7,7,7,7,5,5,7,7,6,7,7,3,6,7,7,7,7,7,,7,7,7,7,6,7,7,5,4,6,7,7,7,7,7,7,7,7,7,7,5,3,3,7,3,7,7,7,5,0,0,7,6,6,7,4,7,7,4,6,7,7,0,0,4,7,3,6,4,7,7,7,7,0,7,7,
Atongha Tundraleap,3,7,7,4,7,7,7,,,7,7,7,5,7,7,7,7,4,7,7,4,4,5,7,7,7,7,3,7,5,5,4,7,7,7,6,2,4,7,7,7,7,4,5,7,4,4,,4,4,,6,6,3,4,,7,7,7,7,4,,7,7,6,5,7,7,7,4,4,,4,7,7,5,5,7,7,2,7,7,5,3,7,7,7,7,,,1,4,7,7,7,3,4,7,7,7,7,7,,7,5,7,7,5,7,4,7,4,3,7,6,7,,7,7,7,4,,3,5,4,4,7,3,,7,7,4,4,0,6,6,6,6,4,6,5,4,6,7,7,4,0,4,2,7,7,3,0,7,0,7,0,7,7,
TheExile,4,7,7,6,7,4,4,4,,7,5,7,2,5,4,5,7,7,4,7,7,4,7,5,7,6,4,7,7,7,7,7,7,7,5,3,7,3,7,7,7,5,7,7,4,5,5,3,3,7,4,6,4,3,,5,7,7,2,7,7,,7,5,5,4,7,7,7,3,5,5,7,7,7,5,7,5,7,4,5,4,4,3,7,7,7,2,2,3,2,4,7,5,2,3,7,7,5,7,7,7,,7,7,7,7,7,7,3,3,3,3,7,4,7,5,4,7,5,,7,2,5,3,3,5,3,7,6,5,4,0,0,4,5,5,4,4,5,0,4,6,4,6,0,0,4,6,0,3,6,0,5,5,5,0,6,5,
leechi42,,7,7,4,7,7,7,,,7,4,7,6,7,,7,7,7,4,7,5,5,7,7,,7,7,7,7,7,7,5,7,7,7,3,7,4,7,7,7,7,5,7,7,4,7,6,3,7,7,6,5,7,7,,7,7,7,7,5,,7,7,6,5,7,7,7,3,7,7,7,7,7,6,6,7,7,,4,7,,3,7,7,7,7,,2,7,7,7,7,2,3,5,7,7,7,7,7,,7,7,7,7,6,7,7,,3,3,7,7,7,7,7,7,5,7,7,7,,3,3,7,3,7,7,7,3,0,0,7,5,5,5,4,7,5,4,5,6,7,0,0,3,5,4,7,3,3,4,5,4,0,6,7,
Tim,4,7,7,4,6,7,5,5,5,7,5,7,2,7,,7,7,,5,7,7,7,5,6,7,2,7,3,7,7,7,7,7,7,7,4,2,4,4,7,6,6,5,5,6,5,7,,3,7,,6,4,7,,5,7,7,2,7,6,,7,7,5,4,7,7,5,3,6,7,7,7,6,4,7,6,7,2,7,7,,2,7,7,7,7,,2,7,4,7,7,2,3,5,7,7,7,7,7,,7,5,7,7,7,7,3,5,7,3,6,4,7,7,5,7,7,7,,5,4,3,3,7,3,,7,7,3,0,0,4,6,6,7,3,7,0,3,6,7,7,0,0,3,6,0,6,0,7,7,7,7,0,6,7,
Raptor2000,,7,7,4,5,,7,7,,7,7,7,4,7,,7,7,7,7,6,7,6,7,6,7,1,7,7,7,7,7,7,7,7,5,4,7,4,5,7,7,7,4,5,6,3,7,,4,6,6,6,7,4,4,,7,7,2,7,4,,7,7,5,4,7,7,4,4,6,7,6,7,7,6,7,7,7,3,7,7,5,3,7,7,7,3,2,,1,4,7,7,3,3,5,7,7,7,7,7,,5,5,7,7,5,7,5,5,3,4,6,7,7,6,7,7,5,4,7,3,5,3,3,7,3,4,7,7,5,4,0,5,6,6,7,4,6,5,4,5,7,7,4,0,4,4,5,5,3,5,5,4,6,0,7,7,
Vaden Khale,7,7,7,3,7,,,5,,7,7,7,7,7,,7,7,7,7,7,7,7,6,5,7,4,4,7,7,7,7,6,7,7,7,3,7,4,6,7,6,7,6,5,6,2,4,,3,7,,6,4,3,,,7,7,2,7,7,,7,5,4,5,7,7,7,3,7,7,7,7,7,5,7,7,7,2,7,7,,3,7,7,7,7,2,3,7,7,7,5,5,3,4,7,7,7,7,7,,7,6,7,7,7,7,5,3,3,3,7,5,7,7,7,7,3,3,7,2,,3,3,7,3,,7,7,3,0,0,3,6,5,5,4,5,0,3,6,4,7,0,0,3,0,0,5,7,4,7,7,5,0,7,7,
aep,7,7,7,4,7,7,7,7,7,7,7,7,7,7,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,5,7,7,7,7,7,7,7,7,7,6,4,7,4,6,7,7,7,6,7,7,7,7,7,,7,7,7,7,7,7,7,3,7,7,7,7,7,7,7,7,7,5,7,7,4,4,7,7,7,7,7,7,7,7,7,7,7,4,7,7,7,7,7,7,,7,7,7,7,7,7,7,7,3,4,7,7,7,7,7,7,7,7,7,7,6,4,4,7,4,7,7,7,4,4,0,7,6,6,7,5,7,7,5,6,7,7,4,0,5,7,7,7,4,7,6,7,5,0,7,7,
Stryfeing,,7,7,3,3,5,7,,6,7,7,7,6,7,,7,5,7,5,5,,5,7,7,7,1,7,7,7,7,6,7,7,7,5,4,7,4,,7,7,6,7,7,7,6,7,3,3,6,,6,5,4,4,,7,7,3,7,7,,7,7,6,6,7,7,6,3,5,5,7,7,7,6,4,,7,2,7,7,5,3,7,7,7,5,3,,2,,7,5,5,3,5,7,4,7,7,7,,7,7,7,7,6,3,4,3,7,7,7,7,7,,5,7,7,,,,,4,4,7,3,3,7,6,4,0,0,4,5,5,4,4,4,4,4,6,6,7,0,0,3,6,0,5,0,0,5,0,5,0,7,6,
Illucian,,5,4,3,,7,,,,7,7,7,2,,4,7,7,7,5,7,5,3,7,4,,1,4,4,5,5,7,,5,7,7,,5,,,7,5,6,4,4,3,3,4,,3,2,5,5,3,2,4,,,7,,6,4,,4,5,5,4,5,4,4,2,4,4,6,5,5,4,7,7,4,2,6,7,,3,7,4,7,7,,,3,,5,,2,3,4,6,,7,7,5,,7,7,5,5,3,5,5,3,,3,6,4,7,3,4,7,3,4,3,2,,3,3,7,3,,0,6,5,4,0,2,5,5,3,4,4,4,4,5,5,4,0,0,4,0,4,6,0,4,5,2,6,0,0,6,
Wrobel Dawg,4,7,7,3,7,6,,3,7,7,6,7,7,3,,7,7,7,6,7,3,7,7,6,,7,7,7,7,7,7,3,7,7,7,3,3,3,7,7,7,6,5,7,7,7,7,7,4,7,,6,5,2,4,5,7,7,7,7,7,,7,7,5,4,7,7,,3,7,7,7,7,,5,7,7,7,2,7,,,3,7,7,7,7,2,2,3,,7,5,2,3,3,7,4,7,7,7,,7,7,7,7,7,6,7,6,3,3,7,7,7,6,4,7,6,4,4,7,4,3,3,7,3,,6,6,3,0,0,5,6,5,6,4,5,5,0,5,5,6,0,0,0,0,4,4,0,0,0,4,4,0,5,5,
Orion121312,5,7,7,4,5,5,5,5,,7,7,7,2,4,,7,6,5,4,4,5,7,5,4,,,4,5,6,7,6,4,7,7,5,3,4,3,3,7,4,5,7,5,4,4,4,,4,7,,,5,4,,,7,7,2,6,7,,4,5,3,4,6,5,7,3,4,4,6,7,,4,7,6,7,2,5,7,4,3,7,7,7,7,,,,,6,5,2,3,4,6,,7,7,7,,5,,6,6,4,5,4,4,3,3,7,3,7,5,4,7,7,,,,4,3,3,7,3,3,5,7,4,0,0,4,5,6,5,4,5,0,4,5,5,7,0,0,4,2,4,4,4,5,5,5,5,0,4,6,
Ru Baruba Maral,7,7,7,6,6,7,7,5,5,7,7,7,7,7,,7,7,7,7,7,7,7,7,7,,1,5,7,7,7,7,7,7,7,7,4,4,4,7,7,7,7,7,5,7,5,6,,3,7,,7,6,4,4,5,7,7,2,7,7,,7,7,7,5,7,7,7,3,7,7,7,7,7,7,7,7,7,2,7,7,5,3,7,7,7,7,4,,6,,7,7,2,3,7,7,4,7,7,7,,7,6,7,7,7,7,7,5,3,4,7,7,7,7,6,7,7,4,7,7,4,3,3,7,3,3,7,7,4,0,0,7,6,6,7,4,6,6,4,6,7,7,4,0,4,6,0,5,4,0,5,7,7,0,7,7,
