,Aayla Secura,Admiral Ackbar,Ahsoka Tano,Ahsoka Tano (Fulcrum),Asajj Ventress,B2 Super Battle Droid,Barriss Offee,Baze Malbus,Biggs Darklighter,Bistan,Boba Fett,Bodhi Rook,Cad Bane,Captain Han Solo,Captain Phasma,Cassian Andor,CC-2224 "Cody",Chief Chirpa,Chief Nebit,Chirrut Imwe,Chopper,Clone Sergeant - Phase I,Clone Wars Chewbacca,Commander Luke Skywalker,Coruscant Underworld Police,Count Dooku,CT-21-0408 "Echo",CT-5555 "Fives",CT-7567 "Rex",Darth Maul,Darth Nihilus,Darth Sidious,Darth Vader,Dathcha,Death Trooper,Dengar,Director Krennic,Eeth Koth,Emperor Palpatine,Ewok Elder,Ewok Scout,Ezra Bridger,Finn,First Order Officer,First Order Stormtrooper,First Order TIE Pilot,Gamorrean Guard,Gar Saxon,Garazeb "Zeb" Orrelios,General Grievous,General Kenobi,General Veers,Geonosian Soldier,Geonosian Spy,Grand Admiral Thrawn,Grand Master Yoda,Grand Moff Tarkin,Greedo,Han Solo,Hera Syndulla,Hermit Yoda,HK-47,Hoth Rebel Scout,Hoth Rebel Soldier,IG-100 MagnaGuard,IG-86 Sentinel Droid,IG-88,Ima-Gun Di,Imperial Super Commando,Jawa,Jawa Engineer,Jawa Scavenger,Jedi Consular,Jedi Knight Anakin,Jedi Knight Guardian,Jyn Erso,K-2SO,Kanan Jarrus,Kit Fisto,Kylo Ren,Lando Calrissian,Lobot,Logray,Luke Skywalker (Farmboy),Luminara Unduli,Mace Windu,Magmatrooper,Mob Enforcer,Nightsister Acolyte,Nightsister Initiate,Nute Gunray,Obi-Wan Kenobi (Old Ben),Old Daka,Pao,Paploo,Plo Koon,Poe Dameron,Poggle the Lesser,Princess Leia,Qui-Gon Jinn,R2-D2,Rebel Officer Leia Organa,Resistance Pilot,Resistance Trooper,Rey,Royal Guard,Sabine Wren,Savage Opress,Scarif Rebel Pathfinder,Shoretrooper,Sith Assassin,Sith Trooper,Snowtrooper,Stormtrooper,Stormtrooper Han,Sun Fac,Talia,Teebo,TIE Fighter Pilot,Tusken Raider,Tusken Shaman,Ugnaught,URoRRuR'R'R,Wedge Antilles,Wicket,Zam Wesell,
roahkarr,,7,7,4,7,,7,,7,5,7,4,,,7,7,7,7,7,6,4,7,7,7,1,5,7,7,7,7,6,7,7,7,3,4,4,,7,7,7,7,4,6,4,4,7,3,7,7,5,5,4,4,,7,7,4,7,7,,,4,4,6,7,7,7,4,7,7,7,7,7,7,7,7,7,,7,7,3,3,7,7,7,7,2,,7,7,7,,2,3,4,7,,7,7,7,,7,4,7,7,7,7,7,5,3,3,7,7,7,5,6,7,7,,7,,,7,3,4,
kungfuowlbear,,7,7,3,5,,,,7,7,7,5,,,7,7,7,3,7,6,5,6,5,7,,5,4,7,7,6,4,4,7,7,3,5,3,7,7,7,5,7,7,7,7,6,,3,7,,5,5,7,4,,7,7,,7,6,,7,7,,4,7,7,4,3,7,7,7,7,4,5,7,7,7,3,7,7,,3,7,7,6,1,,,1,,7,6,2,3,,7,4,7,7,7,,7,7,7,7,6,6,2,3,3,3,7,4,7,7,4,7,7,4,3,,,7,3,3,
chaoskai808,7,7,7,2,7,7,7,4,7,7,7,2,7,,7,7,7,7,7,6,5,6,7,7,2,7,7,7,7,7,5,7,7,7,3,2,4,,7,7,6,5,,3,2,4,3,2,5,,5,3,7,,5,7,7,7,7,7,,7,5,4,3,7,7,7,2,5,7,7,7,7,2,4,6,6,2,7,7,,,7,7,7,6,2,,,4,7,7,2,,,7,,7,7,7,,5,5,7,7,5,7,5,4,3,3,4,7,7,7,3,7,7,,7,,4,7,,3,
riconn,3,7,7,4,4,5,5,7,7,7,7,2,,,7,4,7,5,5,7,7,7,5,7,1,5,7,7,7,7,6,7,7,4,5,7,4,7,7,5,5,7,6,7,7,7,4,3,7,,5,5,6,4,5,7,7,3,7,7,,7,4,5,3,4,7,7,3,2,5,5,6,5,4,7,3,7,3,7,7,4,3,7,7,7,7,3,2,3,4,7,4,2,2,3,7,,7,7,7,,5,7,7,4,5,4,5,7,3,4,7,4,7,5,3,7,7,3,4,3,4,7,2,3,
bicolorlobster,5,7,7,3,7,,7,7,7,7,7,2,7,,7,7,7,6,7,7,7,7,5,7,1,7,7,7,7,7,5,7,7,7,7,7,5,7,7,7,7,7,4,7,5,6,5,3,7,7,6,7,4,,6,7,7,4,7,7,,7,7,4,5,7,7,7,3,7,7,7,7,7,5,7,7,7,2,7,7,4,3,7,7,7,7,2,2,2,4,7,7,2,3,5,7,7,7,7,7,,7,7,7,7,7,7,5,7,4,3,7,7,7,7,4,7,7,7,7,7,4,7,3,,
mmike1214,,7,7,3,7,,7,,7,7,7,2,7,,7,,5,4,7,7,5,7,6,,,7,5,7,7,7,5,7,7,7,2,7,3,,7,5,6,5,,3,,2,,3,7,,5,3,7,,5,7,5,,7,5,,7,3,,3,7,7,7,3,5,7,7,7,7,2,7,7,5,,7,,,3,7,7,7,7,,,7,,5,7,2,3,,5,4,7,7,7,,7,2,7,7,7,5,2,,3,3,5,3,7,7,5,7,7,,,,,7,3,,
hunto,,7,5,3,4,7,4,4,7,4,7,6,5,,7,7,7,4,7,7,7,5,5,7,2,4,7,7,7,7,7,7,7,7,4,7,4,7,7,5,6,7,4,5,3,4,,3,7,,5,4,1,,,7,7,7,7,7,,4,7,4,4,7,7,4,3,7,7,7,7,7,5,7,7,7,2,7,,3,3,7,7,7,4,,,2,,7,5,3,3,4,6,7,7,7,7,,7,3,4,7,7,6,5,5,7,3,6,5,7,4,4,7,7,5,,3,,7,3,7,
spectreone,7,7,7,4,7,7,7,5,7,7,7,7,7,,7,7,7,7,7,7,7,7,7,7,2,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,3,7,7,,6,5,6,7,6,7,7,5,7,7,,7,7,5,7,7,7,7,3,7,7,7,7,7,7,7,7,7,7,7,7,7,3,7,7,7,7,4,3,6,5,7,7,7,3,7,7,7,7,7,7,,7,7,7,7,7,7,7,6,6,7,6,7,7,7,7,7,7,5,4,7,4,7,3,4,
julasera,,7,7,,7,,,,7,6,7,2,7,,,7,,7,5,4,6,5,7,,,,,7,6,7,7,,7,5,2,7,3,,7,7,6,5,5,,,2,,3,7,,5,3,7,,,7,7,,7,7,,7,,4,3,5,7,,2,4,6,5,7,,7,7,7,7,,,5,3,,6,7,7,,,,6,,4,,2,,3,6,,7,5,7,,6,,7,7,6,6,7,,3,3,5,,,7,7,7,7,3,,,,7,,,
adcox7881,3,7,7,3,7,4,7,,7,7,7,5,7,,7,7,7,6,7,5,7,7,7,,,,7,7,7,7,5,7,7,7,7,7,4,,7,7,7,3,7,7,3,6,3,2,7,7,5,7,4,,,7,7,7,7,3,,7,5,3,7,7,7,7,2,7,7,7,7,7,3,7,7,7,,7,7,3,2,7,7,7,7,,,,,5,7,7,3,,7,7,7,7,7,,7,7,7,7,7,7,3,,3,3,7,3,7,7,7,7,7,,7,,,7,3,7,
w0m,7,7,7,3,7,,7,,7,7,7,7,7,,7,7,,,5,3,7,4,5,7,1,7,,7,7,7,4,7,7,5,2,7,3,,7,4,3,6,7,,3,3,,2,7,,5,5,3,,,7,7,7,7,4,,,4,4,4,7,7,7,2,4,,2,5,7,3,7,7,7,2,7,7,3,,7,7,7,2,2,1,,7,7,7,7,3,3,7,5,7,7,7,,5,5,7,7,6,7,4,,3,3,4,4,7,7,7,7,7,,,,4,7,,,
mesauna,3,7,7,3,7,,7,,7,3,7,7,7,,7,7,4,7,7,,7,7,5,,1,7,4,7,7,7,6,7,7,7,3,7,4,7,7,7,7,4,7,6,7,7,3,3,7,,5,4,7,4,,7,7,7,7,4,,7,3,,5,7,7,7,3,7,7,7,7,7,4,7,7,7,,7,7,4,3,7,7,7,7,,,,7,6,7,5,3,6,7,7,7,7,7,,7,6,7,7,5,7,5,,4,7,5,3,7,7,4,7,7,6,3,7,4,4,3,4,
scott7279,3,7,7,3,7,,7,4,7,7,7,6,7,,7,7,7,7,7,7,7,7,6,,1,7,7,7,7,7,6,7,7,7,3,7,4,7,7,7,7,7,7,7,7,7,5,3,7,6,6,6,7,,5,7,7,7,7,6,,7,7,3,5,7,7,7,3,5,7,7,7,7,5,7,7,7,2,7,7,,3,7,7,7,7,2,,3,7,4,7,4,3,5,7,7,7,7,7,,7,7,7,7,7,7,5,3,3,3,7,7,7,7,5,7,7,7,7,5,,7,3,7,
fanman,4,7,7,3,7,,7,5,7,7,7,7,7,,7,7,7,7,7,6,7,7,7,,7,5,7,7,7,7,5,7,7,7,7,7,5,7,7,7,7,7,7,7,7,7,4,3,7,4,5,5,7,7,,7,7,7,7,7,,7,5,5,7,7,7,7,3,7,7,7,7,6,7,7,7,7,5,7,5,4,3,7,7,7,7,4,5,7,7,6,7,7,3,6,7,7,7,7,7,,7,7,7,7,5,7,7,5,4,6,7,7,7,7,7,7,7,7,7,7,5,7,3,7,
atongha,3,7,7,4,7,7,7,,7,6,7,5,7,,7,7,,7,7,4,4,5,7,7,1,7,,7,,4,4,7,7,7,6,2,4,7,7,7,6,4,,7,3,4,,4,4,,5,6,3,4,,7,7,7,7,4,,7,4,4,5,7,7,7,4,4,,4,7,7,5,4,7,4,2,7,7,4,,7,7,7,7,,,1,4,7,7,4,,4,7,7,7,7,7,,7,4,7,7,4,7,3,7,3,3,7,6,7,,7,7,7,4,,2,4,7,,,
alextheexile,4,7,7,4,7,4,4,3,7,4,7,2,5,,4,7,7,4,7,7,4,6,5,7,1,4,7,7,7,7,7,7,7,5,3,7,3,7,7,7,5,7,7,,3,3,3,3,7,4,5,3,3,,5,7,7,2,7,7,,7,4,3,4,7,7,7,3,5,5,7,7,7,5,7,3,7,4,5,4,4,3,7,7,7,2,2,3,2,4,7,5,2,3,7,7,5,7,7,7,,6,6,7,7,7,7,3,3,3,3,7,4,7,4,4,7,4,,7,2,5,5,3,7,
leechi42,,7,7,3,7,7,7,,7,4,7,5,7,,7,7,7,4,7,5,3,7,7,,6,7,7,7,7,7,5,7,7,7,3,7,4,7,7,7,7,4,7,6,,7,6,3,5,6,5,5,7,7,,7,7,7,6,3,,7,7,5,5,7,7,7,3,7,7,7,7,7,6,5,7,7,,,7,,3,7,7,7,7,,2,7,7,6,7,2,3,5,7,7,7,7,7,,7,7,7,7,5,7,6,,3,3,7,7,7,7,7,7,5,7,7,7,,7,3,7,
timmyt,4,7,7,3,6,7,4,4,7,5,7,2,7,,7,5,,5,7,5,5,5,6,7,2,7,3,7,7,7,7,7,7,7,4,2,4,4,7,6,6,5,5,6,5,6,,3,6,,5,4,7,,5,7,7,2,7,5,,7,5,4,4,7,7,5,3,6,7,7,7,6,4,5,3,6,2,7,7,,2,7,7,7,7,,2,7,4,7,7,2,3,5,7,7,7,7,7,,7,5,7,7,5,7,3,5,6,3,6,4,7,7,5,7,7,7,,5,4,7,3,,
raptor2000,,7,7,3,3,,7,7,7,7,7,4,7,,7,7,7,7,5,7,5,7,6,7,1,7,7,7,7,7,7,7,7,5,4,7,4,5,7,7,7,4,5,5,2,7,,4,6,6,5,7,4,4,,7,7,2,7,4,,7,7,5,4,7,7,4,4,6,7,6,7,7,6,7,7,7,3,7,7,5,3,7,7,7,3,2,,1,4,7,7,2,3,5,7,7,7,7,7,,5,5,7,7,5,7,5,5,3,4,6,7,7,5,7,7,5,4,7,3,5,7,3,4,
vadenkhale,7,7,7,3,7,,,4,7,7,7,7,7,,7,7,7,7,7,7,7,6,5,7,1,4,7,7,7,7,5,7,7,7,3,7,4,,7,5,6,4,5,6,2,3,,3,7,,5,4,3,,,7,7,2,7,5,,7,4,4,5,7,7,7,3,7,7,7,7,7,5,7,7,7,2,7,7,,3,7,7,7,7,2,3,7,6,7,5,5,3,4,7,7,7,7,7,,7,6,7,7,6,7,5,3,3,3,7,5,7,7,7,7,3,3,7,2,,7,3,,
aep,7,7,7,4,7,7,7,7,7,7,7,7,7,,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,5,7,7,7,7,7,4,7,7,7,7,7,7,7,7,7,5,4,7,4,6,7,7,7,6,7,7,7,7,7,,7,7,7,7,7,7,7,3,7,7,7,7,7,7,7,7,7,5,7,7,4,4,7,7,7,7,7,7,7,7,7,7,5,4,7,7,7,7,7,7,,7,7,7,7,7,7,7,7,3,4,7,7,7,7,7,7,7,7,7,7,6,7,4,7,
stryfeing,,7,7,3,,5,7,,7,7,7,6,7,,7,,7,5,5,,5,7,7,7,1,7,7,7,7,4,7,7,7,5,4,7,4,,7,7,6,5,7,7,5,7,3,3,4,,5,5,4,4,,7,7,2,7,6,,7,5,4,5,7,7,6,3,5,5,7,7,7,6,,,4,2,7,7,4,3,7,7,7,5,2,,2,,7,5,4,3,5,7,4,7,7,7,,7,7,7,7,4,,4,3,7,7,6,7,7,,5,7,7,,,,,7,3,3,
illucian,,5,4,3,,7,,,7,7,7,2,,,7,7,7,5,7,5,3,7,4,,,4,4,5,5,7,,5,7,7,,4,,,7,5,5,4,4,,2,4,,2,2,5,,3,2,4,,,7,,5,4,,4,4,4,4,4,4,4,2,4,4,6,5,4,4,7,7,3,2,5,7,,3,5,4,6,7,,,3,,5,,2,3,4,6,,2,7,5,,7,6,4,4,2,5,5,,,,5,3,7,3,4,7,3,4,3,2,,7,3,,
wrobeldawg,4,7,7,3,7,6,,,7,5,7,2,3,,7,7,7,6,7,3,7,7,6,,2,7,7,7,7,7,3,7,7,7,3,,3,7,7,7,6,5,7,7,7,7,7,4,7,,5,4,2,4,5,7,7,7,7,7,,7,7,3,4,7,7,,3,7,7,7,7,,5,6,7,7,2,7,,,3,6,7,7,7,2,2,3,,5,5,2,3,3,7,4,7,7,7,,7,6,7,7,7,5,7,5,3,3,7,7,7,5,4,7,6,4,,7,4,7,3,,
orion121312,5,7,7,3,5,5,4,4,7,7,7,2,4,,7,6,5,4,4,5,7,5,4,,,4,5,6,6,6,4,7,7,4,3,4,3,3,7,4,5,7,5,4,4,1,,3,7,,,5,4,,,7,7,2,6,5,,4,3,,4,6,5,7,3,4,4,6,7,,4,7,6,7,2,5,7,4,3,6,7,7,7,,,,,6,4,2,3,,6,,7,7,7,,5,,6,6,4,5,3,4,3,3,7,3,7,5,3,7,7,,,,4,7,3,,
ricoual74,7,7,7,3,5,7,7,4,7,7,7,7,7,,7,7,7,7,7,7,7,7,7,,1,5,7,7,7,7,6,7,7,7,3,4,4,7,7,7,7,7,5,7,5,5,,3,7,,7,6,4,4,5,7,7,2,7,6,,7,7,7,4,7,7,7,3,7,7,7,7,7,6,7,7,7,2,7,7,4,3,7,7,7,7,4,,5,,5,7,2,3,7,7,4,7,7,7,,7,3,7,7,7,7,7,5,3,4,7,7,7,7,5,7,7,3,7,7,4,7,3,,
